Unnamed: 0,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,type,"""pl_eqt"""
61,EPIC 248847494 b,4.5,1.0,-1.0,0.0,183.0,25.0,-18.0,0.0,4898.0,68.0,-68.0,0.0,2.7,0.12,-0.12,0.0,cold,
69,GJ 1002 c,0.0738,0.0021,-0.0021,0.0,181.7,5.2,-5.2,0.0,3024.0,52.0,-52.0,0.0,0.137,0.005,-0.005,0.0,cold,
86,GJ 357 d,0.204,0.015,-0.015,0.0,219.6,5.9,-5.9,0.0,3505.0,51.0,-51.0,0.0,0.337,0.015,-0.015,0.0,cold,
95,GJ 414 A c,1.4,0.055,-0.06,0.0,124.7,13.5,-13.5,0.0,4120.0,109.0,-109.0,0.0,0.68,0.14,-0.14,0.0,cold,colder
98,GJ 514 b,0.422,0.014,-0.015,0.0,202.0,11.0,-11.0,0.0,3728.0,68.0,-68.0,0.0,0.5,0.047,-0.047,0.0,cold,
231,HATS-59 c,2.504,0.035,-0.035,0.0,175.9,6.4,-6.4,0.0,5670.0,91.0,-91.0,0.0,1.036,0.067,-0.067,0.0,cold,
270,HD 115954 b,5.0,1.3,-0.36,0.0,144.9,8.1,-13.0,0.0,5957.0,26.0,-26.0,0.0,1.213,0.083,-0.083,0.0,cold,colder
272,HD 118203 c,6.2,0.2,-0.2,0.0,146.0,3.0,-3.0,0.0,5788.0,51.0,-51.0,0.0,2.03,0.16,-0.16,0.0,cold,colder
285,HD 164922 b,2.115,0.012,-0.012,0.0,159.4,1.7,-1.7,0.0,5293.0,32.0,-32.0,0.0,0.999,0.017,-0.017,0.0,cold,
296,HD 191939 f,3.2,,,-1.0,125.0,,,1.0,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,cold,colder
366,HD 80869 b,2.878,0.045,-0.046,0.0,203.2,6.8,-5.5,0.0,5837.0,15.0,-15.0,0.0,1.062,0.042,-0.042,0.0,cold,
367,HD 86226 b,2.73,0.06,-0.06,0.0,176.0,4.0,-4.0,0.0,5863.0,88.0,-88.0,0.0,1.053,0.026,-0.026,0.0,cold,
374,HD 95544 b,3.386,0.075,-0.077,0.0,156.5,5.4,-5.5,0.0,5722.0,15.0,-15.0,0.0,1.088,0.072,-0.072,0.0,cold,
394,HR 5183 b,18.0,6.0,-4.0,0.0,171.0,5.2,-5.1,0.0,5794.0,100.0,-100.0,0.0,1.53,0.06,-0.05,0.0,cold,
587,K2-288 B b,0.164,0.03,-0.03,0.0,226.36,22.3,-22.3,0.0,3341.0,276.0,-276.0,0.0,0.32,0.03,-0.03,0.0,cold,
843,Kepler-1086 c,0.4964,,,0.0,203.0,,,0.0,4137.0,90.0,-79.0,0.0,0.612,0.043,-0.053,0.0,cold,
1036,Kepler-1229 b,0.2899,,,0.0,196.0,,,0.0,3724.0,60.0,-74.0,0.0,0.414,0.05,-0.08,0.0,cold,
1155,Kepler-1318 b,0.6085,,,0.0,202.0,,,0.0,4477.0,159.0,-159.0,0.0,0.637,0.056,-0.051,0.0,cold,
1452,Kepler-1536 b,0.8507,,,0.0,166.0,,,0.0,4386.0,156.0,-170.0,0.0,0.63,0.053,-0.069,0.0,cold,
1528,Kepler-1593 b,0.4839,,,0.0,187.0,,,0.0,4366.0,131.0,-166.0,0.0,0.455,0.038,-0.049,0.0,cold,
1537,Kepler-1600 b,1.0144,,,0.0,211.0,,,0.0,5303.0,191.0,-163.0,0.0,0.828,0.254,-0.055,0.0,cold,
1575,Kepler-1630 b,1.1218,,,0.0,182.0,,,0.0,5037.0,196.0,-157.0,0.0,0.756,0.13,-0.077,0.0,cold,
1580,Kepler-1635 b,1.1123,,,0.0,202.0,,,0.0,5484.0,171.0,-145.0,0.0,0.775,0.282,-0.059,0.0,cold,
1598,Kepler-1649 b,0.0378,,,0.0,211.0,,,0.0,2703.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,cold,
1599,Kepler-1649 c,0.0649,,,0.0,161.0,,,0.0,2703.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,cold,
1604,Kepler-1652 b,0.1576,,,0.0,229.0,,,0.0,3482.0,57.0,-120.0,0.0,0.35,0.05,-0.11,0.0,cold,
1606,Kepler-1654 b,2.026,0.037,-0.035,0.0,206.0,3.7,-3.5,0.0,5597.0,95.0,-93.0,0.0,1.179,0.026,-0.023,0.0,cold,
1627,Kepler-167 e,1.881,,,0.0,144.0,,,0.0,4978.0,151.0,-130.0,0.0,0.808,1.216,-0.074,0.0,cold,colder
1672,Kepler-1704 b,2.0091,,,0.0,223.0,,,0.0,5755.0,112.0,-112.0,0.0,1.549,0.381,-0.294,0.0,cold,
1716,Kepler-174 d,0.6448,,,0.0,194.0,,,0.0,4590.0,88.0,-91.0,0.0,0.595,0.025,-0.029,0.0,cold,
1874,Kepler-186 f,0.3931,,,0.0,179.0,,,0.0,3761.0,77.0,-50.0,0.0,0.46,0.06,-0.06,0.0,cold,
1883,Kepler-1868 b,0.6108,,,0.0,212.0,,,0.0,4628.0,178.0,-155.0,0.0,0.661,0.072,-0.057,0.0,cold,
2344,Kepler-296 f,0.2253,,,0.0,199.0,,,0.0,3517.0,70.0,-57.0,0.0,0.37,0.06,-0.06,0.0,cold,
2384,Kepler-309 c,0.34966,0.01549,-0.01549,0.0,202.0,,,0.0,3880.0,143.0,-103.0,0.0,0.49,0.07,-0.07,0.0,cold,
2663,Kepler-421 b,0.923,,,0.0,216.0,,,0.0,5310.0,50.0,-50.0,0.0,0.787,0.044,-0.044,0.0,cold,
2687,Kepler-440 b,0.334,,,0.0,201.0,,,0.0,3813.0,58.0,-87.0,0.0,0.477,0.06,-0.06,0.0,cold,
2688,Kepler-441 b,0.5697,,,0.0,189.0,,,0.0,4339.0,78.0,-87.0,0.0,0.553,0.031,-0.022,0.0,cold,
2845,Kepler-553 c,0.9084,,,0.0,224.0,,,0.0,5234.0,103.0,-103.0,0.0,0.854,0.08,-0.04,0.0,cold,
2944,Kepler-62 f,0.699,,,0.0,205.0,,,0.0,4797.0,93.0,,0.0,0.653,0.028,-0.036,0.0,cold,
3044,Kepler-705 b,0.2261,,,0.0,229.0,,,0.0,3593.0,58.0,-66.0,0.0,0.47,0.06,-0.06,0.0,cold,
3499,TIC 139270665 c,2.0,0.93,-0.31,0.0,200.0,18.0,-35.0,0.0,5844.0,84.0,-82.0,0.0,1.016,0.035,-0.031,0.0,cold,
3738,TOI-2537 c,2.78,0.22,-0.15,0.0,123.1,6.3,-6.7,0.0,4870.0,150.0,-150.0,0.0,0.771,0.039,-0.04,0.0,cold,colder
3796,TOI-4010 e,1.57,0.12,-0.13,0.0,174.0,8.0,-6.0,0.0,4960.0,36.0,-36.0,0.0,0.83,0.01,-0.01,0.0,cold,
3832,TOI-4600 c,1.152,0.068,-0.068,0.0,191.0,6.0,-6.0,0.0,5170.0,120.0,-120.0,0.0,0.81,0.03,-0.03,0.0,cold,
3898,TOI-6478 b,0.1136,0.006,-0.006,0.0,204.4,4.9,-4.9,0.0,3230.0,75.0,-75.0,0.0,0.234,0.012,-0.012,0.0,cold,
3942,TOI-904 c,0.312,0.023,-0.058,0.0,217.26,9.1,-9.1,0.0,3770.2,70.0,-70.0,0.0,0.527,0.021,-0.021,0.0,cold,
3948,TOI-969 c,2.52,0.27,-0.29,0.0,96.4,6.8,-5.8,0.0,4435.0,80.0,-80.0,0.0,0.671,0.015,-0.015,0.0,cold,colder
3953,TRAPPIST-1 f,0.038774,0.00033,-0.00031,0.0,217.7,2.1,-2.1,0.0,2520.0,39.0,-39.0,0.0,0.1234,0.0033,-0.0033,0.0,cold,
3954,TRAPPIST-1 g,0.04681528,0.0004,-0.00037,0.0,197.3,1.9,-1.9,0.0,2520.0,39.0,-39.0,0.0,0.1234,0.0033,-0.0033,0.0,cold,
3955,TRAPPIST-1 h,0.063,0.027,-0.013,0.0,168.0,21.0,-28.0,0.0,2559.0,50.0,-50.0,0.0,0.117,0.0036,-0.0036,0.0,cold,
3958,Teegarden's Star c,0.0455,0.0015,-0.0016,0.0,209.0,4.0,-4.0,0.0,3034.0,45.0,-45.0,0.0,0.12,0.012,-0.012,0.0,cold,
3959,Teegarden's Star d,0.0791,0.0025,-0.0027,0.0,159.0,3.0,-3.0,0.0,3034.0,45.0,-45.0,0.0,0.12,0.012,-0.012,0.0,cold,
3995,WASP-132 d,2.71,0.12,-0.12,0.0,107.0,11.0,-18.0,0.0,4686.0,99.0,-99.0,0.0,0.758,0.032,-0.032,0.0,cold,colder
4129,WD 1856+534 b,0.0204,0.0012,-0.0012,0.0,163.0,14.0,-18.0,0.0,4710.0,60.0,-60.0,0.0,0.0131,0.00054,-0.00054,0.0,cold,
56,EPIC 212737443 c,0.28,0.006,-0.006,0.0,316.0,10.0,-10.0,0.0,4684.0,79.0,-79.0,0.0,0.673,0.024,-0.024,0.0,temperate,
68,GJ 1002 b,0.0457,0.0013,-0.0013,0.0,230.9,6.7,-6.7,0.0,3024.0,52.0,-52.0,0.0,0.137,0.005,-0.005,0.0,temperate,
71,GJ 1132 c,0.0476,0.0017,-0.0017,0.0,300.0,5.0,-5.0,0.0,3270.0,140.0,-140.0,0.0,0.2105,0.0102,-0.0085,0.0,temperate,
89,GJ 3929 c,0.081,0.002,-0.002,0.0,317.0,3.0,-3.0,0.0,3384.0,88.0,-88.0,0.0,0.32,0.01,-0.01,0.0,temperate,
94,GJ 414 A b,0.2324,0.0092,-0.0099,0.0,308.6,33.5,-33.5,0.0,4120.0,109.0,-109.0,0.0,0.68,0.14,-0.14,0.0,temperate,
113,Gliese 12 b,0.067,0.0005,-0.0006,0.0,315.0,7.0,-8.0,0.0,3253.0,55.0,-55.0,0.0,0.269,0.008,-0.008,0.0,temperate,
261,HD 109286 b,1.259,0.021,-0.022,0.0,259.4,5.5,-5.5,0.0,5694.0,23.0,-23.0,0.0,1.089,0.041,-0.041,0.0,temperate,
297,HD 191939 g,0.812,0.028,-0.028,0.0,278.0,6.0,-6.0,0.0,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,temperate,
327,HD 27969 b,1.552,0.032,-0.033,0.0,261.0,11.0,-11.0,0.0,5966.0,21.0,-21.0,0.0,1.27,0.1,-0.1,0.0,temperate,
342,HD 40307 g,0.6069,0.00096,-0.00096,0.0,255.0,349.0,-349.0,0.0,4867.44,139.15,-135.46,0.0,0.716684,0.059818,-0.047911,0.0,temperate,
392,HN Lib b,0.1417,0.0023,-0.0023,0.0,234.4,5.5,-5.3,0.0,3347.0,50.0,-50.0,0.0,0.299,0.009,-0.009,0.0,temperate,
425,K2-133 e,0.1346,0.0011,-0.0011,0.0,296.0,10.0,-10.0,0.0,3655.0,80.0,-80.0,0.0,0.455,0.022,-0.022,0.0,temperate,
466,K2-18 b,0.1429,0.006,-0.0065,0.0,284.0,15.0,-15.0,0.0,3457.0,39.0,-39.0,0.0,0.411,0.038,-0.038,0.0,temperate,
596,K2-3 d,0.2014,0.0034,-0.0033,0.0,305.2,3.1,-3.2,0.0,3844.0,61.0,-63.0,0.0,0.546,0.018,-0.016,0.0,temperate,
610,K2-323 b,0.1275,0.0055,-0.0072,0.0,318.0,24.0,-43.0,0.0,3710.0,118.0,-118.0,0.0,0.549,0.024,-0.024,0.0,temperate,
652,K2-9 b,0.0848,0.005,-0.005,0.0,284.0,14.0,-14.0,0.0,3468.0,20.0,-19.0,0.0,0.25,0.04,-0.03,0.0,temperate,
678,KIC 5437945 b,1.1455,,,0.0,308.0,,,0.0,6340.0,176.0,-199.0,0.0,1.393,0.656,-0.336,0.0,temperate,
679,KIC 9663113 b,1.3337,,,0.0,232.0,,,0.0,6065.0,155.0,-180.0,0.0,1.006,0.37,-0.121,0.0,temperate,
703,KOI-351 h,0.98,,,0.0,292.0,,,0.0,6330.0,86.0,-86.0,0.0,1.07,0.46,-0.46,0.0,temperate,
770,Kepler-1038 b,0.515,,,0.0,293.0,,,0.0,5463.0,210.0,-174.0,0.0,0.759,0.292,-0.058,0.0,temperate,
776,Kepler-1040 b,0.6291,,,0.0,297.0,,,0.0,5804.0,192.0,-167.0,0.0,0.845,0.374,-0.091,0.0,temperate,
793,Kepler-1052 c,0.613,,,0.0,303.0,,,0.0,5835.0,149.0,-161.0,0.0,0.847,0.301,-0.067,0.0,temperate,
799,Kepler-1058 b,0.391,,,0.0,254.0,,,0.0,4580.0,72.0,-72.0,0.0,0.618,0.015,-0.015,0.0,temperate,
840,Kepler-1085 b,0.7391,,,0.0,313.0,,,0.0,6063.0,181.0,-181.0,0.0,1.012,0.252,-0.108,0.0,temperate,
849,Kepler-1090 b,0.619,,,0.0,288.0,,,0.0,5403.0,178.0,-153.0,0.0,0.906,0.558,-0.121,0.0,temperate,
858,Kepler-1097 b,0.5791,,,0.0,267.0,,,0.0,5303.0,220.0,-168.0,0.0,0.753,0.205,-0.073,0.0,temperate,
900,Kepler-1126 c,0.6541,,,0.0,306.0,,,0.0,6106.0,152.0,-174.0,0.0,0.844,0.363,-0.059,0.0,temperate,
926,Kepler-1143 c,0.605,,,0.0,230.0,,,0.0,4905.0,151.0,-132.0,0.0,0.682,0.082,-0.063,0.0,temperate,
1190,Kepler-1341 b,0.4516,,,0.0,241.0,,,0.0,4530.0,168.0,-159.0,0.0,0.657,0.067,-0.055,0.0,temperate,
1216,Kepler-1362 b,0.4626,,,0.0,248.0,,,0.0,4648.0,167.0,-167.0,0.0,0.675,0.062,-0.05,0.0,temperate,
1242,Kepler-138 e,0.1803,0.0014,-0.0014,0.0,292.0,5.0,-6.0,0.0,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,temperate,
1254,Kepler-1388 e,0.1793,,,0.0,294.0,,,0.0,3903.0,79.0,-67.0,0.0,0.523,0.07,-0.05,0.0,temperate,
1255,Kepler-1389 b,0.3825,,,0.0,318.0,,,0.0,5129.0,203.0,-159.0,0.0,0.754,0.15,-0.068,0.0,temperate,
1285,Kepler-1410 b,0.247,,,0.0,251.0,,,0.0,3903.0,50.0,-60.0,0.0,0.523,0.05,-0.05,0.0,temperate,
1334,Kepler-1450 b,0.2392,,,0.0,310.0,,,0.0,4405.0,131.0,-132.0,0.0,0.61,0.058,-0.058,0.0,temperate,
1339,Kepler-1455 b,0.2149,0.0055,-0.0054,0.0,298.0,28.0,-28.0,0.0,3950.0,113.0,-113.0,0.0,0.518,0.039,-0.048,0.0,temperate,
1429,Kepler-1519 b,0.7509,,,0.0,283.0,,,0.0,5911.0,161.0,-174.0,0.0,0.887,0.384,-0.073,0.0,temperate,
1455,Kepler-1539 b,0.4777,,,0.0,301.0,,,0.0,5269.0,173.0,-141.0,0.0,0.801,0.228,-0.069,0.0,temperate,
1461,Kepler-1540 b,0.4198,,,0.0,238.0,,,0.0,4366.0,129.0,-130.0,0.0,0.639,0.048,-0.064,0.0,temperate,
1468,Kepler-1544 b,0.5459,,,0.0,241.0,,,0.0,4798.0,95.0,-95.0,0.0,0.707,0.043,-0.025,0.0,temperate,
1469,Kepler-1545 b,0.5634,,,0.0,280.0,,,0.0,5334.0,178.0,-153.0,0.0,0.796,0.238,-0.058,0.0,temperate,
1473,Kepler-1549 b,0.6961,,,0.0,266.0,,,0.0,5375.0,167.0,-140.0,0.0,0.876,0.296,-0.059,0.0,temperate,
1475,Kepler-155 c,0.2267,,,0.0,271.0,,,0.0,3985.0,251.0,-64.0,0.0,0.54,0.07,-0.07,0.0,temperate,
1476,Kepler-1550 b,0.7333,,,0.0,312.0,,,0.0,6184.0,163.0,-198.0,0.0,0.959,0.401,-0.089,0.0,temperate,
1478,Kepler-1552 b,0.568,,,0.0,251.0,,,0.0,5220.0,162.0,-137.0,0.0,0.677,0.116,-0.049,0.0,temperate,
1480,Kepler-1554 b,0.6259,,,0.0,266.0,,,0.0,5462.0,167.0,-151.0,0.0,0.764,0.241,-0.057,0.0,temperate,
1524,Kepler-159 c,0.19491,0.00752,-0.00752,0.0,275.0,,,0.0,3894.0,67.0,-98.0,0.0,0.5,0.06,-0.06,0.0,temperate,
1544,Kepler-1606 b,0.6375,,,0.0,276.0,,,0.0,5536.0,161.0,-140.0,0.0,0.816,0.294,-0.061,0.0,temperate,
1571,Kepler-1628 b,0.2952,,,0.0,240.0,,,0.0,3869.0,133.0,-147.0,0.0,0.584,0.037,-0.074,0.0,temperate,
1579,Kepler-1634 b,1.0525,,,0.0,282.0,,,0.0,5636.0,171.0,-171.0,0.0,1.354,0.341,-0.375,0.0,temperate,
1581,Kepler-1636 b,1.1546,,,0.0,248.0,,,0.0,5977.0,164.0,-222.0,0.0,1.022,0.437,-0.086,0.0,temperate,
1583,Kepler-1638 b,0.745,0.021,-0.02,0.0,304.0,39.0,-31.0,0.0,5906.0,183.0,-147.0,0.0,0.835,0.189,-0.075,0.0,temperate,
1605,Kepler-1653 b,0.4836,,,0.0,271.0,,,0.0,4821.0,76.0,-86.0,0.0,0.788,0.023,-0.051,0.0,temperate,
1613,Kepler-1661 b,0.633,0.005,-0.005,0.0,243.0,,,0.0,5100.0,100.0,-100.0,0.0,0.762,0.01,-0.01,0.0,temperate,
1655,Kepler-1690 b,0.7143,,,0.0,273.0,,,0.0,5735.0,189.0,-167.0,0.0,0.831,0.375,-0.072,0.0,temperate,
1670,Kepler-1701 b,0.5689,,,0.0,278.0,,,0.0,5380.0,168.0,-146.0,0.0,0.779,0.242,-0.058,0.0,temperate,
1723,Kepler-1746 b,0.8767,,,0.0,268.0,,,0.0,5982.0,193.0,-183.0,0.0,0.901,0.363,-0.102,0.0,temperate,
1729,Kepler-1750 b,0.678,,,0.0,290.0,,,0.0,5803.0,105.0,-105.0,0.0,0.87,0.49,-0.49,0.0,temperate,
1815,Kepler-1816 b,0.3671,,,0.0,315.0,,,0.0,5120.0,154.0,-133.0,0.0,0.716,0.112,-0.052,0.0,temperate,
1847,Kepler-1840 b,0.4471,,,0.0,249.0,,,0.0,4696.0,176.0,-160.0,0.0,0.644,0.079,-0.052,0.0,temperate,
1892,Kepler-1874 b,0.2523,,,0.0,317.0,,,0.0,4514.0,165.0,-160.0,0.0,0.639,0.067,-0.056,0.0,temperate,
1901,Kepler-1881 b,0.547,,,0.0,279.0,,,0.0,5365.0,107.0,-107.0,0.0,0.76,0.47,-0.47,0.0,temperate,
2027,Kepler-1981 b,1.1712,,,0.0,270.0,,,0.0,6109.0,146.0,-186.0,0.0,1.179,0.614,-0.18,0.0,temperate,
2050,Kepler-1996 c,0.3482,,,0.0,267.0,,,0.0,4528.0,169.0,-156.0,0.0,0.624,0.07,-0.053,0.0,temperate,
2115,Kepler-22 b,0.8489,,,0.0,267.0,,,0.0,5642.0,50.0,-50.0,0.0,0.979,0.02,-0.02,0.0,temperate,
2164,Kepler-235 e,0.2014,,,0.0,265.0,,,0.0,3887.0,188.0,-78.0,0.0,0.48,0.07,-0.07,0.0,temperate,
2258,Kepler-267 d,0.1439,,,0.0,303.0,,,0.0,3807.0,97.0,-69.0,0.0,0.47,0.06,-0.06,0.0,temperate,
2320,Kepler-289 e,0.9342,,,0.0,286.0,,,0.0,5933.0,107.0,-119.0,0.0,1.115,0.174,-0.142,0.0,temperate,
2343,Kepler-296 e,0.151,,,0.0,248.0,,,0.0,3526.0,71.0,-78.0,0.0,0.383,0.048,-0.058,0.0,temperate,
2350,Kepler-298 d,0.31,,,0.0,294.0,,,0.0,4655.0,61.0,-61.0,0.0,0.635,0.015,-0.015,0.0,temperate,
2393,Kepler-311 d,0.7319,,,0.0,316.0,,,0.0,5897.0,115.0,-120.0,0.0,1.081,0.186,-0.115,0.0,temperate,
2401,Kepler-315 c,0.7584,,,0.0,269.0,,,0.0,5724.0,182.0,-148.0,0.0,0.862,0.369,-0.096,0.0,temperate,
2502,Kepler-351 d,0.5184,,,0.0,317.0,,,0.0,5646.0,164.0,-151.0,0.0,0.841,0.369,-0.067,0.0,temperate,
2608,Kepler-395 c,0.171,,,0.0,312.0,,,0.0,4050.0,200.0,-200.0,0.0,0.523,0.028,-0.028,0.0,temperate,
2612,Kepler-397 c,0.4663,,,0.0,273.0,,,0.0,5114.0,187.0,-167.0,0.0,0.682,0.117,-0.051,0.0,temperate,
2681,Kepler-436 b,0.2502,,,0.0,271.0,,,0.0,4299.0,132.0,-148.0,0.0,0.511,0.039,-0.052,0.0,temperate,
2683,Kepler-437 b,0.2737,,,0.0,294.0,,,0.0,4427.0,133.0,-129.0,0.0,0.622,0.056,-0.06,0.0,temperate,
2684,Kepler-438 b,0.1648,,,0.0,273.0,,,0.0,3688.0,73.0,-50.0,0.0,0.463,0.07,-0.05,0.0,temperate,
2685,Kepler-439 b,0.5886,,,0.0,284.0,,,0.0,5592.0,155.0,-141.0,0.0,0.782,0.277,-0.058,0.0,temperate,
2689,Kepler-442 b,0.393,,,0.0,260.0,,,0.0,4569.0,141.0,-124.0,0.0,0.653,0.06,-0.062,0.0,temperate,
2690,Kepler-443 b,0.5724,,,0.0,246.0,,,0.0,4907.0,160.0,-130.0,0.0,0.739,0.086,-0.054,0.0,temperate,
2698,Kepler-445 d,0.0439,,,0.0,305.0,,,0.0,3327.0,125.0,-58.0,0.0,0.189,0.125,-0.054,0.0,temperate,
2709,Kepler-452 b,1.046,0.019,-0.015,0.0,265.0,15.0,-13.0,0.0,5757.0,85.0,-85.0,0.0,1.11,0.15,-0.09,0.0,temperate,
2770,Kepler-505 b,0.1444,,,0.0,313.0,,,0.0,3770.0,66.0,-78.0,0.0,0.51,0.06,-0.06,0.0,temperate,
2820,Kepler-539 c,2.42,0.5,-0.51,0.0,253.0,27.0,-27.0,0.0,5820.0,80.0,-80.0,0.0,0.952,0.018,-0.018,0.0,temperate,
2854,Kepler-560 b,0.0916,,,0.0,270.0,,,0.0,3387.0,59.0,-50.0,0.0,0.3,0.05,-0.05,0.0,temperate,
2874,Kepler-577 b,0.1353,,,0.0,315.0,,,0.0,3789.0,219.0,-159.0,0.0,0.48,0.1,-0.1,0.0,temperate,
2924,Kepler-61 b,0.2523,,,0.0,272.0,,,0.0,4014.0,76.0,-80.0,0.0,0.596,0.026,-0.038,0.0,temperate,
2926,Kepler-610 c,0.5594,,,0.0,318.0,,,0.0,5713.0,153.0,-159.0,0.0,0.893,0.297,-0.069,0.0,temperate,
2943,Kepler-62 e,0.417,,,0.0,255.0,,,0.0,4807.0,50.0,-50.0,0.0,0.601,0.018,-0.018,0.0,temperate,
3028,Kepler-69 c,0.7106,,,0.0,286.0,,,0.0,5637.0,116.0,-92.0,0.0,0.943,0.186,-0.106,0.0,temperate,
3051,Kepler-712 c,0.6732,,,0.0,236.0,,,0.0,5067.0,102.0,-102.0,0.0,0.75,0.052,-0.033,0.0,temperate,
3067,Kepler-725 c,0.6744,0.0023,-0.0023,0.0,268.0,8.0,-8.0,0.0,5395.0,64.0,-64.0,0.0,0.88,0.05,-0.03,0.0,temperate,
3081,Kepler-737 b,0.1443,,,0.0,295.0,,,0.0,3750.0,56.0,-75.0,0.0,0.46,0.06,-0.06,0.0,temperate,
3229,Kepler-841 b,0.4494,,,0.0,304.0,,,0.0,5446.0,179.0,-147.0,0.0,0.72,0.184,-0.05,0.0,temperate,
3260,Kepler-867 b,0.5154,,,0.0,291.0,,,0.0,5514.0,175.0,-139.0,0.0,0.739,0.204,-0.05,0.0,temperate,
3293,Kepler-896 b,0.519,,,0.0,303.0,,,0.0,5506.0,87.0,-87.0,0.0,0.81,0.39,-0.39,0.0,temperate,
3383,Kepler-967 c,0.6253,,,0.0,258.0,,,0.0,5180.0,103.0,-103.0,0.0,0.8,0.054,-0.043,0.0,temperate,
3414,Kepler-991 b,0.3067,,,0.0,252.0,,,0.0,4237.0,92.0,-83.0,0.0,0.558,0.065,-0.043,0.0,temperate,
3429,LHS 1140 b,0.0936,0.0024,-0.0024,0.0,235.0,5.0,-5.0,0.0,3216.0,39.0,-39.0,0.0,0.2139,0.0041,-0.0041,0.0,temperate,
3440,LP 890-9 c,0.03984,0.00022,-0.00022,0.0,272.0,2.0,-2.0,0.0,2850.0,75.0,-75.0,0.0,0.1556,0.0086,-0.0086,0.0,temperate,
3484,PH2 b,0.8454,,,0.0,306.0,,,0.0,6007.0,147.0,-175.0,0.0,1.124,0.478,-0.159,0.0,temperate,
3485,Proxima Cen b,0.0485,0.0041,-0.0051,0.0,234.0,6.0,-14.0,0.0,3050.0,100.0,-100.0,0.0,0.141,0.021,-0.021,0.0,temperate,
3496,Ross 128 b,0.0496,0.0017,-0.0017,0.0,301.0,,,0.0,3192.0,60.0,-60.0,0.0,0.1967,0.0077,-0.0077,0.0,temperate,
3555,TOI-1266 d,0.1513,0.0024,-0.0024,0.0,288.0,5.0,-5.0,0.0,3563.0,77.0,-77.0,0.0,0.4232,0.0077,-0.0079,0.0,temperate,
3618,TOI-1736 c,1.381,0.017,-0.017,0.0,249.0,9.0,-9.0,0.0,5807.0,46.0,-46.0,0.0,1.15,0.08,-0.08,0.0,temperate,
3679,TOI-2088 b,0.472,0.009,-0.009,0.0,300.33,6.95,-5.49,0.0,5081.0,56.0,-54.0,0.0,0.8481,0.0339,-0.0239,0.0,temperate,
3681,TOI-2095 c,0.137,0.006,-0.006,0.0,297.0,8.0,-8.0,0.0,3759.0,87.0,-87.0,0.0,0.44,0.02,-0.02,0.0,temperate,
3689,TOI-2134 c,0.371,0.004,-0.004,0.0,306.0,4.0,-4.0,0.0,4580.0,50.0,-50.0,0.0,0.709,0.017,-0.017,0.0,temperate,
3704,TOI-2257 b,0.145,0.003,-0.003,0.0,256.0,61.0,-17.0,0.0,3430.0,130.0,-130.0,0.0,0.313,0.015,-0.015,0.0,temperate,
3708,TOI-2285 b,0.1363,0.001,-0.001,0.0,284.0,6.0,-6.0,0.0,3491.0,58.0,-58.0,0.0,0.464,0.013,-0.013,0.0,temperate,
3710,TOI-2295 c,2.018,0.04,-0.042,0.0,234.9,7.6,-7.6,0.0,5730.0,140.0,-140.0,0.0,1.459,0.056,-0.058,0.0,temperate,
3813,TOI-4336 A b,0.0872,0.0013,-0.0014,0.0,308.0,9.0,-9.0,0.0,3298.0,75.0,-73.0,0.0,0.328,0.01,-0.01,0.0,temperate,
3830,TOI-4562 b,0.768,0.005,-0.005,0.0,318.0,4.0,-4.0,0.0,6096.0,32.0,-32.0,0.0,1.152,0.046,-0.046,0.0,temperate,
3913,TOI-700 d,0.1633,0.0026,-0.0027,0.0,268.8,7.7,-7.6,0.0,3461.0,66.0,-66.0,0.0,0.424,0.017,-0.017,0.0,temperate,
3916,TOI-712 d,0.3405,0.0041,-0.0039,0.0,313.6,2.9,-2.8,0.0,4622.0,61.0,-59.0,0.0,0.674,0.017,-0.016,0.0,temperate,
3917,TOI-715 b,0.083,0.0027,-0.0027,0.0,234.0,12.0,-12.0,0.0,3075.0,75.0,-75.0,0.0,0.24,0.012,-0.012,0.0,temperate,
3951,TRAPPIST-1 d,0.02226,0.00019,-0.00018,0.0,286.2,2.8,-2.8,0.0,2520.0,39.0,-39.0,0.0,0.1234,0.0033,-0.0033,0.0,temperate,
3952,TRAPPIST-1 e,0.02817,0.00083,-0.00087,0.0,251.3,4.9,-4.9,0.0,2559.0,50.0,-50.0,0.0,0.117,0.0036,-0.0036,0.0,temperate,
3957,Teegarden's Star b,0.0259,0.0008,-0.0009,0.0,277.0,5.0,-5.0,0.0,3034.0,45.0,-45.0,0.0,0.12,0.012,-0.012,0.0,temperate,
4072,WASP-41 c,1.07,0.03,-0.03,0.0,241.0,2.0,-2.0,0.0,5545.0,33.0,-33.0,0.0,0.87,0.03,-0.03,0.0,temperate,
